id,title,skills_required,sector,location,eligibility
1,Cloud Intern,"recruitment, onboarding, communication",Finance,Chennai,"BCA, B.Tech"
2,Cloud Intern,"photoshop, branding, graphics",IT/AI,Ahmedabad,"BCom, MBA"
3,Content Intern,"recruitment, onboarding, communication",Finance,Pune,"BDes, BA"
4,Business Analyst Intern,"python, machine learning, statistics",Software Dev,Bangalore,"BCA, B.Tech"
5,Content Intern,"photoshop, branding, graphics",Design,Kolkata,"BCA, B.Tech"
6,Finance Intern,"python, machine learning, statistics",Consulting,Hyderabad,"BSc, MSc"
7,Marketing Intern,"sql, analytics, consulting",Design,Delhi,"BCA, B.Tech"
8,Data Science Intern,"html, css, javascript, react",Software Dev,Delhi,"BCA, B.Tech"
9,Data Science Intern,"recruitment, onboarding, communication",Media,Pune,Any Graduate
10,Content Intern,"content, copywriting, research",IT/AI,Ahmedabad,"BSc, MSc"
11,Design Intern,"excel, accounting, analytics",Media,Hyderabad,"BCom, MBA"
12,Business Analyst Intern,"recruitment, onboarding, communication",Content,Jaipur,"BDes, BA"
13,Graphic Intern,"photoshop, branding, graphics",Finance,Ahmedabad,"MBA, PGDM"
14,Marketing Intern,"excel, accounting, analytics",Software Dev,Ahmedabad,"B.Tech, M.Tech"
15,Content Intern,"communication, social media, seo",Software Dev,Kolkata,Any Graduate
16,HR Intern,"aws, devops, linux",Media,Mumbai,"B.Tech, BSc IT"
17,Marketing Intern,"communication, social media, seo",Consulting,Ahmedabad,"BCom, MBA"
18,Finance Intern,"html, css, javascript, react",IT/AI,Jaipur,"B.Tech, BSc IT"
19,Finance Intern,"python, machine learning, statistics",Content,Jaipur,"MBA, BBA"
20,Graphic Intern,"illustrator, photoshop, creativity",Consulting,Pune,"B.Tech, M.Tech"
21,Data Science Intern,"photoshop, branding, graphics",HR,Bangalore,"MBA, PGDM"
22,Web Dev Intern,"recruitment, onboarding, communication",Cloud,Pune,"BSc, MSc"
23,HR Intern,"html, css, javascript, react",Design,Bangalore,"B.Tech, BSc IT"
24,Business Analyst Intern,"excel, accounting, analytics",HR,Mumbai,"B.Tech, BSc IT"
25,Data Science Intern,"recruitment, onboarding, communication",Content,Jaipur,"B.Tech, M.Tech"
26,Marketing Intern,"content, copywriting, research",Design,Chennai,"MBA, PGDM"
27,Business Analyst Intern,"illustrator, photoshop, creativity",Design,Hyderabad,"BCA, B.Tech"
28,Content Intern,"illustrator, photoshop, creativity",Content,Ahmedabad,"BA, MA"
29,Web Dev Intern,"communication, social media, seo",Cloud,Chennai,"BDes, BA"
30,Data Science Intern,"content, copywriting, research",Consulting,Mumbai,Any Graduate
31,Cloud Intern,"illustrator, photoshop, creativity",IT/AI,Delhi,"MBA, PGDM"
32,HR Intern,"excel, accounting, analytics",Finance,Kolkata,"BSc, MSc"
33,Business Analyst Intern,"sql, analytics, consulting",Marketing,Pune,"BA, MA"
34,Data Science Intern,"recruitment, onboarding, communication",Marketing,Hyderabad,Any Graduate
35,Finance Intern,"python, machine learning, statistics",Content,Noida,Any Graduate
36,Graphic Intern,"content, copywriting, research",IT/AI,Pune,"B.Tech, M.Tech"
37,HR Intern,"content, copywriting, research",Media,Hyderabad,"MBA, BBA"
38,Content Intern,"communication, social media, seo",Marketing,Bangalore,"B.Tech, BSc IT"
39,Cloud Intern,"sql, analytics, consulting",HR,Hyderabad,"MBA, BBA"
40,Content Intern,"html, css, javascript, react",Cloud,Jaipur,"BCA, B.Tech"
